iter	Passed	Remaining
0	46	46134
1	46	23283
2	47	15642
3	47	11814
4	47	9517
5	48	7982
6	48	6882
7	48	6053
8	49	5414
9	49	4902
10	49	4481
11	50	4131
12	50	3836
13	50	3583
14	51	3362
15	51	3171
16	51	3001
17	52	2848
18	52	2711
19	52	2588
20	53	2477
21	53	2375
22	53	2282
23	54	2197
24	54	2119
25	54	2046
26	54	1979
27	55	1916
28	55	1858
29	55	1804
30	56	1753
31	56	1706
32	56	1661
33	56	1619
34	57	1579
35	57	1541
36	57	1506
37	58	1471
38	58	1439
39	58	1409
40	58	1379
41	59	1352
42	59	1325
43	59	1300
44	60	1276
45	60	1253
46	60	1231
47	60	1209
48	61	1189
49	61	1169
50	61	1151
51	62	1133
52	62	1115
53	62	1098
54	63	1082
55	63	1067
56	63	1051
57	63	1037
58	64	1023
59	64	1010
60	64	996
61	65	984
62	65	971
63	65	959
64	65	948
65	66	936
66	66	925
67	66	913
68	66	902
69	67	892
70	67	882
71	67	873
72	68	864
73	68	855
74	68	846
75	68	837
76	69	829
77	69	820
78	69	813
79	70	805
80	70	797
81	70	790
82	70	783
83	71	776
84	71	768
85	71	761
86	71	753
87	72	747
88	72	741
89	72	735
90	72	728
91	73	722
92	73	717
93	73	711
94	74	705
95	74	700
96	74	695
97	74	689
98	75	684
99	75	679
100	75	674
101	75	668
102	76	664
103	76	659
104	76	654
105	77	650
106	77	645
107	77	641
108	77	637
109	78	633
110	78	629
111	78	624
112	79	620
113	79	616
114	79	612
115	79	608
116	80	604
117	80	601
118	80	597
119	80	593
120	81	590
121	81	586
122	81	582
123	81	578
124	82	575
125	82	572
126	82	569
127	82	565
128	83	562
129	83	558
130	83	555
131	84	552
132	84	549
133	84	546
134	84	544
135	85	541
136	85	538
137	85	535
138	85	532
139	86	529
140	86	527
141	86	524
142	87	521
143	87	519
144	87	516
145	87	514
146	88	511
147	88	509
148	88	506
149	88	504
150	89	501
151	89	499
152	89	497
153	90	494
154	90	492
155	90	490
156	90	488
157	91	485
158	91	483
159	91	481
160	92	479
161	92	477
162	92	475
163	92	473
164	93	471
165	93	469
166	93	467
167	93	465
168	94	463
169	94	461
170	94	459
171	95	457
172	95	455
173	95	453
174	95	452
175	96	450
176	96	448
177	96	446
178	97	445
179	97	443
180	97	440
181	97	439
182	97	437
183	98	435
184	98	434
185	98	432
186	99	430
187	99	429
188	99	427
189	99	425
190	100	424
191	100	422
192	100	421
193	100	419
194	101	417
195	101	416
196	101	415
197	102	413
198	102	412
199	102	410
200	102	409
201	103	407
202	103	406
203	103	404
204	104	403
205	104	401
206	104	400
207	104	399
208	105	397
209	105	396
210	105	395
211	105	393
212	106	392
213	106	391
214	106	389
215	107	388
216	107	387
217	107	385
218	107	384
219	108	383
220	108	382
221	108	380
222	108	379
223	109	378
224	109	377
225	109	375
226	110	374
227	110	373
228	110	372
229	110	371
230	111	369
231	111	368
232	111	367
233	111	366
234	112	365
235	112	364
236	112	362
237	112	361
238	113	360
239	113	359
240	113	358
241	114	357
242	114	356
243	114	355
244	114	354
245	115	352
246	115	351
247	115	350
248	115	349
249	116	348
250	116	347
251	116	346
252	117	345
253	117	344
254	117	343
255	117	342
256	118	341
257	118	340
258	118	339
259	118	338
260	119	337
261	119	336
262	119	335
263	120	334
264	120	333
265	120	332
266	120	331
267	121	330
268	121	330
269	121	329
270	121	328
271	122	327
272	122	326
273	122	325
274	123	324
275	123	323
276	123	322
277	123	321
278	124	320
279	124	320
280	124	319
281	125	318
282	125	317
283	125	316
284	125	315
285	126	314
286	126	313
287	126	313
288	126	312
289	127	311
290	127	310
291	127	309
292	128	308
293	128	308
294	128	307
295	128	306
296	129	305
