iter	Passed	Remaining
0	46	46119
1	46	23259
2	47	15691
3	47	11884
4	48	9685
5	49	8151
6	49	7056
7	50	6235
8	50	5596
9	51	5084
10	51	4664
11	52	4315
12	52	4020
13	53	3765
14	53	3544
15	54	3348
16	54	3177
17	55	3024
18	55	2887
19	56	2764
20	56	2654
21	57	2553
22	57	2459
23	58	2368
24	58	2285
25	58	2208
26	59	2137
27	59	2071
28	60	2010
29	60	1951
30	60	1898
31	61	1848
32	61	1802
33	61	1760
34	62	1719
35	62	1679
36	63	1641
37	63	1605
38	63	1572
39	64	1540
40	64	1509
41	64	1480
42	65	1453
43	65	1427
44	66	1402
45	66	1377
46	66	1354
47	67	1332
48	67	1310
49	67	1290
50	68	1270
51	68	1251
52	69	1232
53	69	1215
54	69	1198
55	70	1182
56	70	1166
57	70	1151
58	71	1137
59	71	1123
60	72	1108
61	72	1095
62	72	1081
63	73	1069
64	73	1056
65	73	1044
66	74	1032
67	74	1020
68	74	1009
69	75	997
70	75	987
71	75	977
72	76	967
73	76	958
74	76	948
75	77	939
76	77	930
77	77	921
78	78	912
79	78	904
80	78	895
81	79	887
82	79	877
83	79	870
84	80	862
85	80	855
86	80	848
87	81	840
88	81	833
89	81	827
90	82	820
91	82	814
92	82	808
93	83	801
94	83	795
95	83	788
96	84	782
97	84	776
98	84	770
99	85	765
100	85	759
101	85	753
102	85	748
103	86	742
104	86	737
105	86	732
106	87	727
107	87	722
108	87	717
109	88	712
110	88	707
111	88	703
112	89	698
113	89	694
114	89	689
115	89	685
116	90	680
117	90	676
118	90	671
119	91	668
120	91	663
121	91	659
122	91	655
123	92	651
124	92	647
125	92	644
126	93	639
127	93	636
128	93	633
129	94	629
130	94	626
131	94	622
132	94	619
133	95	615
134	95	612
135	95	608
136	96	605
137	96	602
138	96	599
139	97	596
140	97	593
141	97	589
142	97	586
143	98	583
144	98	580
145	98	577
146	98	574
147	99	571
148	99	568
149	99	565
150	100	562
151	100	559
152	100	557
153	100	554
154	101	551
155	101	548
156	101	546
157	101	543
158	102	540
159	102	538
160	102	535
161	102	532
162	103	530
163	103	527
164	103	525
165	104	522
166	104	520
167	104	518
168	104	515
169	105	513
170	105	511
171	105	509
172	106	506
173	106	504
174	106	502
175	106	500
176	107	498
177	107	495
178	107	493
179	107	491
180	108	489
181	108	487
182	108	485
183	109	483
184	109	481
185	109	479
186	109	477
187	110	475
188	110	473
189	110	471
190	110	469
191	111	467
192	111	466
193	111	464
194	112	462
195	112	460
196	112	458
197	112	457
198	113	455
199	113	453
200	113	451
201	113	450
202	114	448
203	114	446
204	114	444
205	115	443
206	115	441
207	115	440
208	115	438
209	116	436
210	116	435
211	116	433
212	116	432
213	117	430
214	117	429
215	117	427
216	118	426
217	118	424
218	118	422
219	118	421
220	119	419
221	119	418
222	119	417
223	119	415
224	120	414
225	120	412
226	120	411
227	121	409
228	121	408
229	121	407
230	121	405
231	122	404
232	122	403
233	122	401
234	122	400
235	123	398
236	123	397
237	123	396
238	124	394
239	124	393
240	124	392
241	124	390
242	125	389
243	125	388
244	125	387
245	125	386
246	126	384
247	126	383
248	126	382
249	127	381
250	127	379
251	127	378
252	127	377
253	128	376
254	128	375
255	128	374
256	129	373
257	129	372
258	129	370
259	129	369
260	130	368
261	130	367
262	130	366
263	131	365
264	131	364
265	131	363
266	131	361
267	132	360
268	132	359
269	132	358
270	132	357
271	133	356
272	133	355
273	133	354
274	134	353
275	134	352
276	134	351
277	134	350
278	135	349
279	135	348
280	135	347
281	136	346
282	136	345
283	136	344
284	136	343
285	137	342
286	137	341
287	137	340
288	137	339
289	138	338
290	138	337
291	138	336
292	139	335
293	139	334
294	139	333
295	139	332
296	140	331
297	140	330
298	140	329
299	141	329
300	141	328
301	141	327
302	141	326
303	142	325
304	142	324
305	142	323
306	142	322
307	143	321
308	143	320
309	143	320
310	144	319
311	144	318
312	144	317
313	144	316
314	145	315
315	145	314
316	145	313
317	145	313
318	146	312
319	146	311
320	146	310
321	147	309
322	147	308
323	147	308
324	147	307
325	148	306
326	148	305
327	148	304
328	148	303
329	149	303
330	149	302
331	149	301
332	150	300
333	150	299
334	150	299
335	150	298
336	151	297
337	151	296
338	151	295
339	152	295
340	152	294
341	152	293
342	152	292
